Time,Vehicle,Line,Action,Station,Turnover,Capacity
12:00:00,20,12,Leaving,A,18,9
12:00:00,1,21,Leaving,C,66,33
12:03:00,20,12,Arriving,B,12,6
12:04:01,20,12,Leaving,B,14,7
12:05:09,1,21,Arriving,C,60,30
12:06:10,1,21,Leaving,C,102,51
12:07:01,20,12,Arriving,C,0,0
12:08:02,20,12,Leaving,C,18,9
12:11:02,20,12,Arriving,A,12,6
12:11:19,1,21,Arriving,C,36,18
12:12:03,20,12,Leaving,A,14,7
12:12:20,1,21,Leaving,C,138,69
12:15:03,20,12,Arriving,B,0,0
12:16:04,20,12,Leaving,B,18,9
12:17:29,1,21,Arriving,C,6,3
12:18:30,1,21,Leaving,C,12,6
12:19:04,20,12,Arriving,C,12,6
12:20:05,20,12,Leaving,C,14,7
12:23:05,20,12,Arriving,A,0,0
12:23:39,1,21,Arriving,C,6,3
12:24:06,20,12,Leaving,A,18,9
12:24:40,1,21,Leaving,C,12,6
12:27:06,20,12,Arriving,B,12,6
12:28:07,20,12,Leaving,B,14,7
12:29:49,1,21,Arriving,C,6,3
12:30:50,1,21,Leaving,C,12,6
12:31:07,20,12,Arriving,C,0,0
12:32:08,20,12,Leaving,C,18,9
12:35:08,20,12,Arriving,A,12,6
12:35:59,1,21,Arriving,C,6,3
12:36:09,20,12,Leaving,A,14,7
12:37:00,1,21,Leaving,C,12,6
12:39:09,20,12,Arriving,B,0,0
12:40:10,20,12,Leaving,B,18,9
12:42:09,1,21,Arriving,C,6,3
12:43:10,20,12,Arriving,C,12,6
12:43:10,1,21,Leaving,C,12,6
12:44:11,20,12,Leaving,C,14,7
12:47:11,20,12,Arriving,A,0,0
12:48:12,20,12,Leaving,A,18,9
12:48:19,1,21,Arriving,C,6,3
12:49:20,1,21,Leaving,C,12,6
12:51:12,20,12,Arriving,B,12,6
12:52:13,20,12,Leaving,B,14,7
12:54:29,1,21,Arriving,C,6,3
12:55:13,20,12,Arriving,C,0,0
12:55:30,1,21,Leaving,C,12,6
12:56:14,20,12,Leaving,C,18,9
12:59:14,20,12,Arriving,A,12,6
13:00:15,20,12,Leaving,A,14,7
13:00:39,1,21,Arriving,C,6,3
13:01:40,1,21,Leaving,C,12,6
13:03:15,20,12,Arriving,B,0,0
13:04:16,20,12,Leaving,B,18,9
13:06:49,1,21,Arriving,C,6,3
13:07:16,20,12,Arriving,C,12,6
13:07:50,1,21,Leaving,C,12,6
13:08:17,20,12,Leaving,C,14,7
13:11:17,20,12,Arriving,A,0,0
13:12:18,20,12,Leaving,A,18,9
13:12:59,1,21,Arriving,C,6,3
13:14:00,1,21,Leaving,C,12,6
13:15:18,20,12,Arriving,B,12,6
13:16:19,20,12,Leaving,B,14,7
13:19:09,1,21,Arriving,C,6,3
13:19:19,20,12,Arriving,C,0,0
13:20:10,1,21,Leaving,C,12,6
13:20:20,20,12,Leaving,C,18,9
